ipc_class_symbol,last_ipc_version,NbAppln
A01B  63/08,2006-01-01,223
A01B  63/10,2006-01-01,10050
A01B  63/102,2006-01-01,346
A01B  63/104,2006-01-01,125
A01B  63/106,2006-01-01,59
A01B  63/108,2006-01-01,373
A01B  63/11,2006-01-01,334
A01B  63/111,2006-01-01,2719
A01B  63/112,2006-01-01,1648
A01B  63/114,2006-01-01,1786
A01B  63/118,2006-01-01,154
A01B  63/12,2006-01-01,143
A01B  63/14,2006-01-01,622
A01B  63/16,2006-01-01,2037
A01B  63/18,2006-01-01,194
A01B  63/20,2006-01-01,35
A01B  63/22,2006-01-01,933
A01B  63/24,2006-01-01,909
A01B  63/26,2006-01-01,540
A01B  63/28,2006-01-01,204
A01B  63/30,2006-01-01,24
A01B  63/32,2006-01-01,977
A01B  67/00,2006-01-01,469
A01B  69/00,2006-01-01,9871
A01B  69/02,2006-01-01,1951
A01B  69/04,2006-01-01,1662
A01B  69/06,2006-01-01,462
A01B  69/08,2006-01-01,309
A01B  71/00,2006-01-01,2830
A01B  71/02,2006-01-01,2505
A01B  71/04,2006-01-01,355
A01B  71/06,2006-01-01,2443
A01B  71/08,2006-01-01,1074
A01B  73/00,2010-01-01,2301
A01B  73/02,2006-01-01,977
A01B  73/04,2006-01-01,2218
A01B  73/06,2006-01-01,1314
A01B  75/00,2006-01-01,932
A01B  76/00,2006-01-01,472
A01B  77/00,2006-01-01,1250
A01B  79/00,2010-01-01,4379
A01B  79/02,2006-01-01,4467
A01C,2010-01-01,2509
A01C   1/00,2010-01-01,11448
A01C   1/02,2006-01-01,3087
A01C   1/04,2006-01-01,4218
A01C   1/06,2006-01-01,7291
A01C   1/08,2006-01-01,3350
A01C   3/00,2006-01-01,1744
A01C   3/02,2006-01-01,2220
A01C   3/04,2006-01-01,660
A01C   3/06,2006-01-01,2868
A01C   3/08,2006-01-01,499
A01C   5/00,2006-01-01,1247
A01C   5/02,2006-01-01,1965
A01C   5/04,2006-01-01,2694
A01C   5/06,2006-01-01,8683
A01C   5/08,2006-01-01,460
A01C   7/00,2010-01-01,7832
A01C   7/02,2006-01-01,2621
A01C   7/04,2006-01-01,6154
A01C   7/06,2006-01-01,3866
A01C   7/08,2006-01-01,8118
A01C   7/10,2006-01-01,1409
A01C   7/12,2006-01-01,2420
A01C   7/14,2006-01-01,337
A01C   7/16,2006-01-01,2643
A01C   7/18,2006-01-01,3550
A01C   7/20,2006-01-01,9778
A01C   9/00,2006-01-01,1400
A01C   9/02,2006-01-01,710
A01C   9/04,2006-01-01,497
A01C   9/06,2006-01-01,232
A01C   9/08,2006-01-01,490
A01C  11/00,2010-01-01,5060
A01C  11/02,2006-01-01,34526
A01C  11/04,2006-01-01,310
A01C  13/00,2006-01-01,477
A01C  14/00,2009-01-01,694
A01C  15/00,2010-01-01,11543
A01C  15/02,2006-01-01,1985
A01C  15/04,2006-01-01,2253
A01C  15/06,2006-01-01,598
A01C  15/08,2006-01-01,576
A01C  15/10,2006-01-01,184
A01C  15/12,2006-01-01,1007
A01C  15/14,2006-01-01,158
A01C  15/16,2006-01-01,2339
A01C  15/18,2006-01-01,711
A01C  17/00,2006-01-01,5366
A01C  19/00,2006-01-01,1786
A01C  19/02,2006-01-01,902
A01C  19/04,2006-01-01,942
A01C  21/00,2010-01-01,8380
A01C  23/00,2009-01-01,4965
A01C  23/02,2006-01-01,3699
A01C  23/04,2006-01-01,4900
A01D,2010-01-01,3729
A01D   1/00,2006-01-01,459
A01D   1/02,2006-01-01,206
A01D   1/04,2006-01-01,535
A01D   1/06,2006-01-01,300
A01D   1/08,2006-01-01,302
A01D   1/10,2006-01-01,34
A01D   1/12,2006-01-01,89
A01D   1/14,2006-01-01,362
A01D   3/00,2006-01-01,48
A01D   3/02,2006-01-01,142
A01D   3/04,2006-01-01,36
A01D   3/06,2006-01-01,50
A01D   3/08,2006-01-01,46
A01D   5/00,2006-01-01,30
A01D   7/00,2006-01-01,748
A01D   7/02,2006-01-01,220
A01D   7/04,2006-01-01,165
A01D   7/06,2006-01-01,460
A01D   7/08,2006-01-01,97
A01D   7/10,2006-01-01,416
A01D   9/00,2006-01-01,231
A01D   9/02,2006-01-01,125
A01D   9/04,2006-01-01,34
A01D   9/06,2006-01-01,53
A01D  11/00,2006-01-01,342
A01D  11/02,2006-01-01,269
A01D  11/04,2006-01-01,90
A01D  11/06,2006-01-01,154
A01D  13/00,2006-01-01,2261
A01D  15/00,2006-01-01,151
A01D  15/02,2006-01-01,90
A01D  15/04,2006-01-01,606
A01D  17/00,2006-01-01,1552
A01D  17/02,2006-01-01,367
A01D  17/04,2006-01-01,178
A01D  17/06,2006-01-01,554
A01D  17/08,2006-01-01,386
A01D  17/10,2006-01-01,1580
A01D  17/12,2006-01-01,93
A01D  17/14,2006-01-01,243
A01D  17/16,2006-01-01,208
A01D  17/18,2006-01-01,180
A01D  17/20,2006-01-01,32
A01D  17/22,2006-01-01,113
A01D  19/00,2006-01-01,306
A01D  19/02,2006-01-01,235
A01D  19/04,2006-01-01,142
A01D  19/06,2006-01-01,261
A01D  19/08,2006-01-01,33
A01D  19/10,2006-01-01,205
A01D  19/12,2006-01-01,146
A01D  19/14,2006-01-01,217
A01D  19/16,2006-01-01,249
A01D  19/18,2006-01-01,17
A01D  21/00,2006-01-01,314
A01D  21/02,2006-01-01,48
A01D  21/04,2006-01-01,269
A01D  23/00,2006-01-01,268
A01D  23/02,2006-01-01,1867
A01D  23/04,2006-01-01,947
A01D  23/06,2006-01-01,459
A01D  25/00,2006-01-01,1349
A01D  25/02,2006-01-01,649
A01D  25/04,2006-01-01,1553
A01D  27/00,2006-01-01,1286
A01D  27/02,2006-01-01,495
A01D  27/04,2006-01-01,664
A01D  29/00,2006-01-01,1239
A01D  31/00,2006-01-01,732
A01D  31/02,2006-01-01,150
A01D  33/00,2006-01-01,1959
A01D  33/02,2006-01-01,656
A01D  33/04,2006-01-01,637
A01D  33/06,2006-01-01,851
A01D  33/08,2006-01-01,3363
A01D  33/10,2006-01-01,1275
A01D  33/12,2006-01-01,583
A01D  33/14,2006-01-01,496
A01D  34/00,2010-01-01,5255
A01D  34/01,2006-01-01,320
A01D  34/02,2006-01-01,849
A01D  34/03,2006-01-01,4546
A01D  34/04,2006-01-01,548
A01D  34/06,2006-01-01,399
A01D  34/07,2006-01-01,264
A01D  34/08,2006-01-01,725
A01D  34/10,2006-01-01,742
A01D  34/125,2006-01-01,216
A01D  34/13,2006-01-01,1731
A01D  34/135,2006-01-01,226
A01D  34/14,2006-01-01,537
A01D  34/16,2006-01-01,302
A01D  34/17,2006-01-01,469
A01D  34/18,2006-01-01,540
A01D  34/20,2006-01-01,148
A01D  34/22,2006-01-01,73
A01D  34/23,2006-01-01,118
A01D  34/24,2006-01-01,3015
A01D  34/26,2006-01-01,412
A01D  34/27,2006-01-01,203
A01D  34/28,2006-01-01,963
