ipc_class_level	ancestor	parent	ipc_version
A01B  19/04	A01B19/02	A	2017.01
A01B  19/06	A01B19/02	A	2017.01
A01B  19/08	A01B19/00	A	2017.01
A01B  19/10	A01B19/00	A	2017.01
A01B  21/00	A01B	A	2017.01
A01B  21/02	A01B21/00	A	2017.01
A01B  21/04	A01B21/02	A	2017.01
A01B  21/06	A01B21/02	A	2017.01
A01B  21/08	A01B21/00	A	2017.01
A01B  23/00	A01B	A	2017.01
A01B  23/02	A01B23/00	A	2017.01
A01B  23/04	A01B23/00	A	2017.01
A01B  23/06	A01B23/00	A	2017.01
A01B  25/00	A01B	A	2017.01
A01B  27/00	A01B	A	2017.01
A01B  29/00	A01B	A	2017.01
A01B  29/02	A01B29/00	A	2017.01
A01B  29/04	A01B29/00	A	2017.01
A01B  29/06	A01B29/00	A	2017.01
A01B  31/00	A01B	A	2017.01
A01B  33/00	A01B	A	2017.01
A01B  33/02	A01B33/00	A	2017.01
A01B  33/04	A01B33/00	A	2017.01
A01B  33/06	A01B33/00	A	2017.01
A01B  33/08	A01B33/00	A	2017.01
A01B  33/10	A01B33/08	A	2017.01
A01B  33/12	A01B33/08	A	2017.01
A01B  33/14	A01B33/08	A	2017.01
A01B  33/16	A01B33/00	A	2017.01
A01B  35/00	A01B	A	2017.01
A01B  35/02	A01B35/00	A	2017.01
A01B  35/04	A01B35/02	A	2017.01
A01B  35/06	A01B35/04	A	2017.01
A01B  35/08	A01B35/04	A	2017.01
A01B  35/10	A01B35/02	A	2017.01
A01B  35/12	A01B35/10	A	2017.01
A01B  35/14	A01B35/10	A	2017.01
A01B  35/16	A01B35/00	A	2017.01
A01B  35/18	A01B35/00	A	2017.01
A01B  35/20	A01B35/00	A	2017.01
A01B  35/22	A01B35/20	A	2017.01
A01B  35/24	A01B35/22	A	2017.01
A01B  35/26	A01B35/22	A	2017.01
A01B  35/28	A01B35/20	A	2017.01
A01B  35/30	A01B35/20	A	2017.01
A01B  35/32	A01B35/00	A	2017.01
A01B  37/00	A01B	A	2017.01
A01B  39/00	A01B	A	2017.01
A01B  39/02	A01B39/00	A	2017.01
A01B  39/04	A01B39/02	A	2017.01
A01B  39/06	A01B39/02	A	2017.01
A01B  39/08	A01B39/00	A	2017.01
A01B  39/10	A01B39/00	A	2017.01
A01B  39/12	A01B39/00	A	2017.01
A01B  39/14	A01B39/12	A	2017.01
A01B  39/16	A01B39/12	A	2017.01
A01B  39/18	A01B39/12	A	2017.01
A01B  39/19	A01B39/18	A	2017.01
A01B  39/20	A01B39/00	A	2017.01
A01B  39/22	A01B39/20	A	2017.01
A01B  39/24	A01B39/20	A	2017.01
A01B  39/26	A01B39/20	A	2017.01
A01B  39/28	A01B39/00	A	2017.01
A01B  41/00	A01B	A	2017.01
A01B  41/02	A01B41/00	A	2017.01
A01B  41/04	A01B41/00	A	2017.01
A01B  41/06	A01B41/00	A	2017.01
A01B  43/00	A01B	A	2017.01
A01B  45/00	A01B	A	2017.01
A01B  45/02	A01B45/00	A	2017.01
A01B  45/04	A01B45/00	A	2017.01
A01B  47/00	A01B	A	2017.01
A01B  49/00	A01B	A	2017.01
A01B  49/02	A01B49/00	A	2017.01
A01B  49/04	A01B49/00	A	2017.01
A01B  49/06	A01B49/04	A	2017.01
A01B  51/00	A01B	A	2017.01
A01B  51/02	A01B51/00	A	2017.01
A01B  51/04	A01B51/00	A	2017.01
A01B  59/00	A01B	A	2017.01
A01B  59/02	A01B59/00	A	2017.01
A01B  59/04	A01B59/00	A	2017.01
A01B  59/041	A01B59/04	A	2017.01
A01B  59/042	A01B59/04	A	2017.01
A01B  59/043	A01B59/042	A	2017.01
A01B  59/044	A01B59/04	A	2017.01
A01B  59/046	A01B59/04	A	2017.01
A01B  59/048	A01B59/04	A	2017.01
A01B  59/06	A01B59/00	A	2017.01
A01B  61/00	A01B	A	2017.01
A01B  61/02	A01B61/00	A	2017.01
A01B  61/04	A01B61/00	A	2017.01
A01B  63/00	A01B	A	2017.01
A01B  63/02	A01B63/00	A	2017.01
A01B  63/04	A01B63/02	A	2017.01
A01B  63/06	A01B63/02	A	2017.01
A01B  63/08	A01B63/02	A	2017.01
