ipc_code	ancestor	parent	ipc_version
A01B  39/20	A01B0039000000	A	2016.01
A01B  39/22	A01B0039200000	A	2016.01
A01B  39/24	A01B0039200000	A	2016.01
A01B  39/26	A01B0039200000	A	2016.01
A01B  39/28	A01B0039000000	A	2016.01
A01B  41/00		A	2016.01
A01B  41/02	A01B0041000000	A	2016.01
A01B  41/04	A01B0041000000	A	2016.01
A01B  41/06	A01B0041000000	A	2016.01
A01B  43/00		A	2016.01
A01B  45/00		A	2016.01
A01B  45/02	A01B0045000000	A	2016.01
A01B  45/04	A01B0045000000	A	2016.01
A01B  47/00		A	2016.01
A01B  49/00		A	2016.01
A01B  49/02	A01B0049000000	A	2016.01
A01B  49/04	A01B0049000000	A	2016.01
A01B  49/06	A01B0049040000	A	2016.01
A01B  51/00		A	2016.01
A01B  51/02	A01B0051000000	A	2016.01
A01B  51/04	A01B0051000000	A	2016.01
A01B  59/00		A	2016.01
A01B  59/02	A01B0059000000	A	2016.01
A01B  59/04	A01B0059000000	A	2016.01
A01B  59/041	A01B0059040000	A	2016.01
A01B  59/042	A01B0059040000	A	2016.01
A01B  59/043	A01B0059042000	A	2016.01
A01B  59/044	A01B0059040000	A	2016.01
A01B  59/046	A01B0059040000	A	2016.01
A01B  59/048	A01B0059040000	A	2016.01
A01B  59/06	A01B0059000000	A	2016.01
A01B  61/00		A	2016.01
A01B  61/02	A01B0061000000	A	2016.01
A01B  61/04	A01B0061000000	A	2016.01
A01B  63/00		A	2016.01
A01B  63/02	A01B0063000000	A	2016.01
A01B  63/04	A01B0063020000	A	2016.01
A01B  63/06	A01B0063020000	A	2016.01
A01B  63/08	A01B0063020000	A	2016.01
A01B  63/10	A01B0063020000	A	2016.01
A01B  63/102	A01B0063100000	A	2016.01
A01B  63/104	A01B0063102000	A	2016.01
A01B  63/106	A01B0063102000	A	2016.01
A01B  63/108	A01B0063102000	A	2016.01
A01B  63/11	A01B0063100000	A	2016.01
A01B  63/111	A01B0063100000	A	2016.01
A01B  63/112	A01B0063111000	A	2016.01
A01B  63/114	A01B0063111000	A	2016.01
A01B  63/118	A01B0063100000	A	2016.01
A01B  63/12	A01B0063020000	A	2016.01
A01B  63/14	A01B0063000000	A	2016.01
A01B  63/16	A01B0063140000	A	2016.01
A01B  63/18	A01B0063160000	A	2016.01
A01B  63/20	A01B0063160000	A	2016.01
A01B  63/22	A01B0063160000	A	2016.01
A01B  63/24	A01B0063140000	A	2016.01
A01B  63/26	A01B0063240000	A	2016.01
A01B  63/28	A01B0063240000	A	2016.01
A01B  63/30	A01B0063240000	A	2016.01
A01B  63/32	A01B0063240000	A	2016.01
A01B  67/00		A	2016.01
A01B  69/00		A	2016.01
A01B  69/02	A01B0069000000	A	2016.01
A01B  69/04	A01B0069000000	A	2016.01
A01B  69/06	A01B0069000000	A	2016.01
A01B  69/08	A01B0069000000	A	2016.01
A01B  71/00		A	2016.01
A01B  71/02	A01B0071000000	A	2016.01
A01B  71/04	A01B0071000000	A	2016.01
A01B  71/06	A01B0071000000	A	2016.01
A01B  71/08	A01B0071000000	A	2016.01
A01B  73/00		A	2016.01
A01B  73/02	A01B0073000000	A	2016.01
A01B  73/04	A01B0073020000	A	2016.01
A01B  73/06	A01B0073020000	A	2016.01
A01B  75/00		A	2016.01
A01B  76/00		A	2016.01
A01B  77/00		A	2016.01
A01B  79/00		A	2016.01
A01B  79/02	A01B0079000000	A	2016.01
A01C   1/00		A	2016.01
A01C   1/02	A01C0001000000	A	2016.01
A01C   1/04	A01C0001000000	A	2016.01
A01C   1/06	A01C0001000000	A	2016.01
A01C   1/08	A01C0001000000	A	2016.01
A01C   3/00		A	2016.01
A01C   3/02	A01C0003000000	A	2016.01
A01C   3/04	A01C0003000000	A	2016.01
A01C   3/06	A01C0003000000	A	2016.01
A01C   3/08	A01C0003060000	A	2016.01
A01C   5/00		A	2016.01
A01C   5/02	A01C0005000000	A	2016.01
A01C   5/04	A01C0005000000	A	2016.01
A01C   5/06	A01C0005000000	A	2016.01
A01C   5/08	A01C0005000000	A	2016.01
A01C   7/00		A	2016.01
A01C   7/02	A01C0007000000	A	2016.01
A01C   7/04	A01C0007000000	A	2016.01
A01C   7/06	A01C0007000000	A	2016.01
A01C   7/08	A01C0007000000	A	2016.01
A01C   7/10	A01C0007080000	A	2016.01
A01C   7/12	A01C0007080000	A	2016.01
A01C   7/14	A01C0007120000	A	2016.01
A01C   7/16	A01C0007080000	A	2016.01
A01C   7/18	A01C0007000000	A	2016.01
A01C   7/20	A01C0007000000	A	2016.01
A01C   9/00		A	2016.01
A01C   9/02	A01C0009000000	A	2016.01
A01C   9/04	A01C0009000000	A	2016.01
A01C   9/06	A01C0009000000	A	2016.01
A01C   9/08	A01C0009000000	A	2016.01
A01C  11/00		A	2016.01
A01C  11/02	A01C0011000000	A	2016.01
A01C  11/04	A01C0011000000	A	2016.01
A01C  13/00		A	2016.01
A01C  14/00		A	2016.01
A01C  15/00		A	2016.01
A01C  15/02	A01C0015000000	A	2016.01
A01C  15/04	A01C0015000000	A	2016.01
A01C  15/06	A01C0015000000	A	2016.01
A01C  15/08	A01C0015060000	A	2016.01
A01C  15/10	A01C0015080000	A	2016.01
A01C  15/12	A01C0015000000	A	2016.01
A01C  15/14	A01C0015000000	A	2016.01
A01C  15/16	A01C0015000000	A	2016.01
A01C  15/18	A01C0015000000	A	2016.01
A01C  17/00		A	2016.01
A01C  19/00		A	2016.01
A01C  19/02	A01C0019000000	A	2016.01
A01C  19/04	A01C0019000000	A	2016.01
A01C  21/00		A	2016.01
A01C  23/00		A	2016.01
A01C  23/02	A01C0023000000	A	2016.01
A01C  23/04	A01C0023000000	A	2016.01
A01D   1/00		A	2016.01
A01D   1/02	A01D0001000000	A	2016.01
A01D   1/04	A01D0001000000	A	2016.01
A01D   1/06	A01D0001000000	A	2016.01
A01D   1/08	A01D0001000000	A	2016.01
A01D   1/10	A01D0001080000	A	2016.01
A01D   1/12	A01D0001080000	A	2016.01
A01D   1/14	A01D0001000000	A	2016.01
A01D   3/00		A	2016.01
A01D   3/02	A01D0003000000	A	2016.01
A01D   3/04	A01D0003000000	A	2016.01
A01D   3/06	A01D0003000000	A	2016.01
A01D   3/08	A01D0003000000	A	2016.01
A01D   5/00		A	2016.01
A01D   7/00		A	2016.01
A01D   7/02	A01D0007000000	A	2016.01
A01D   7/04	A01D0007000000	A	2016.01
A01D   7/06	A01D0007000000	A	2016.01
A01D   7/08	A01D0007000000	A	2016.01
A01D   7/10	A01D0007000000	A	2016.01
A01D   9/00		A	2016.01
A01D   9/02	A01D0009000000	A	2016.01
A01D   9/04	A01D0009000000	A	2016.01
A01D   9/06	A01D0009000000	A	2016.01
A01D  11/00		A	2016.01
A01D  11/02	A01D0011000000	A	2016.01
A01D  11/04	A01D0011000000	A	2016.01
A01D  11/06	A01D0011000000	A	2016.01
A01D  13/00		A	2016.01
A01D  15/00		A	2016.01
A01D  15/02	A01D0015000000	A	2016.01
A01D  15/04	A01D0015000000	A	2016.01
A01D  17/00		A	2016.01
A01D  17/02	A01D0017000000	A	2016.01
A01D  17/04	A01D0017000000	A	2016.01
A01D  17/06	A01D0017000000	A	2016.01
A01D  17/08	A01D0017000000	A	2016.01
A01D  17/10	A01D0017000000	A	2016.01
A01D  17/12	A01D0017000000	A	2016.01
A01D  17/14	A01D0017000000	A	2016.01
A01D  17/16	A01D0017140000	A	2016.01
A01D  17/18	A01D0017140000	A	2016.01
A01D  17/20	A01D0017140000	A	2016.01
A01D  17/22	A01D0017140000	A	2016.01
A01D  19/00		A	2016.01
A01D  19/02	A01D0019000000	A	2016.01
A01D  19/04	A01D0019000000	A	2016.01
A01D  19/06	A01D0019040000	A	2016.01
A01D  19/08	A01D0019040000	A	2016.01
A01D  19/10	A01D0019040000	A	2016.01
A01D  19/12	A01D0019000000	A	2016.01
A01D  19/14	A01D0019120000	A	2016.01
A01D  19/16	A01D0019120000	A	2016.01
A01D  19/18	A01D0019120000	A	2016.01
A01D  21/00		A	2016.01
A01D  21/02	A01D0021000000	A	2016.01
A01D  21/04	A01D0021000000	A	2016.01
A01D  23/00		A	2016.01
A01D  23/02	A01D0023000000	A	2016.01
A01D  23/04	A01D0023000000	A	2016.01
A01D  23/06	A01D0023000000	A	2016.01
A01D  25/00		A	2016.01
A01D  25/02	A01D0025000000	A	2016.01
A01D  25/04	A01D0025000000	A	2016.01
A01D  27/00		A	2016.01
A01D  27/02	A01D0027000000	A	2016.01
A01D  27/04	A01D0027000000	A	2016.01
A01D  29/00		A	2016.01
A01D  31/00		A	2016.01
A01D  31/02	A01D0031000000	A	2016.01
A01D  33/00		A	2016.01
A01D  33/02	A01D0033000000	A	2016.01
A01D  33/04	A01D0033000000	A	2016.01
A01D  33/06	A01D0033000000	A	2016.01
A01D  33/08	A01D0033000000	A	2016.01
A01D  33/10	A01D0033000000	A	2016.01
A01D  33/12	A01D0033000000	A	2016.01
A01D  33/14	A01D0033000000	A	2016.01
A01D  34/00	A01D0034000000	A	2016.01
A01D  34/01	A01D0034000000	A	2016.01
A01D  34/02	A01D0034010000	A	2016.01
A01D  34/03	A01D0034020000	A	2016.01
A01D  34/04	A01D0034030000	A	2016.01
A01D  34/06	A01D0034030000	A	2016.01
A01D  34/07	A01D0034030000	A	2016.01
A01D  34/08	A01D0034020000	A	2016.01
A01D  34/10	A01D0034080000	A	2016.01
A01D  34/125	A01D0034020000	A	2016.01
A01D  34/13	A01D0034020000	A	2016.01
A01D  34/135	A01D0034130000	A	2016.01
A01D  34/14	A01D0034130000	A	2016.01
A01D  34/16	A01D0034130000	A	2016.01
A01D  34/17	A01D0034130000	A	2016.01
A01D  34/18	A01D0034130000	A	2016.01
A01D  34/20	A01D0034130000	A	2016.01
A01D  34/22	A01D0034200000	A	2016.01
A01D  34/23	A01D0034130000	A	2016.01
A01D  34/24	A01D0034020000	A	2016.01
A01D  34/26	A01D0034240000	A	2016.01
A01D  34/27	A01D0034240000	A	2016.01
A01D  34/28	A01D0034020000	A	2016.01
A01D  34/30	A01D0034020000	A	2016.01
A01D  34/32	A01D0034300000	A	2016.01
A01D  34/33	A01D0034320000	A	2016.01
A01D  34/34	A01D0034320000	A	2016.01
A01D  34/36	A01D0034300000	A	2016.01
A01D  34/37	A01D0034300000	A	2016.01
A01D  34/38	A01D0034300000	A	2016.01
A01D  34/40	A01D0034020000	A	2016.01
A01D  34/404	A01D0034010000	A	2016.01
A01D  34/408	A01D0034404000	A	2016.01
A01D  34/412	A01D0034010000	A	2016.01
A01D  34/416	A01D0034412000	A	2016.01
A01D  34/42	A01D0034412000	A	2016.01
A01D  34/43	A01D0034420000	A	2016.01
A01D  34/44	A01D0034430000	A	2016.01
A01D  34/46	A01D0034420000	A	2016.01
A01D  34/47	A01D0034460000	A	2016.01
A01D  34/49	A01D0034420000	A	2016.01
A01D  34/52	A01D0034420000	A	2016.01
A01D  34/53	A01D0034520000	A	2016.01
A01D  34/535	A01D0034520000	A	2016.01
A01D  34/54	A01D0034420000	A	2016.01
A01D  34/56	A01D0034420000	A	2016.01
A01D  34/57	A01D0034560000	A	2016.01
A01D  34/58	A01D0034560000	A	2016.01
A01D  34/60	A01D0034560000	A	2016.01
A01D  34/62	A01D0034420000	A	2016.01
A01D  34/63	A01D0034412000	A	2016.01
A01D  34/64	A01D0034630000	A	2016.01
A01D  34/66	A01D0034640000	A	2016.01
A01D  34/67	A01D0034630000	A	2016.01
A01D  34/68	A01D0034670000	A	2016.01
A01D  34/685	A01D0034680000	A	2016.01
A01D  34/69	A01D0034680000	A	2016.01
A01D  34/695	A01D0034630000	A	2016.01
A01D  34/71	A01D0034630000	A	2016.01
A01D  34/73	A01D0034630000	A	2016.01
A01D  34/74	A01D0034630000	A	2016.01
A01D  34/76	A01D0034630000	A	2016.01
A01D  34/77	A01D0034760000	A	2016.01
A01D  34/78	A01D0034760000	A	2016.01
A01D  34/80	A01D0034760000	A	2016.01
A01D  34/81	A01D0034630000	A	2016.01
A01D  34/82	A01D0034630000	A	2016.01
A01D  34/83	A01D0034010000	A	2016.01
A01D  34/835	A01D0034000000	A	2016.01
A01D  34/84	A01D0034835000	A	2016.01
A01D  34/86	A01D0034835000	A	2016.01
A01D  34/90	A01D0034835000	A	2016.01
A01D  37/00		A	2016.01
A01D  37/02	A01D0037000000	A	2016.01
A01D  37/04	A01D0037000000	A	2016.01
A01D  37/06	A01D0037000000	A	2016.01
A01D  39/00		A	2016.01
A01D  41/00		A	2016.01
A01D  41/02	A01D0041000000	A	2016.01
A01D  41/04	A01D0041000000	A	2016.01
A01D  41/06	A01D0041000000	A	2016.01
A01D  41/08	A01D0041000000	A	2016.01
A01D  41/10	A01D0041000000	A	2016.01
A01D  41/12	A01D0041000000	A	2016.01
A01D  41/127	A01D0041120000	A	2016.01
A01D  41/133	A01D0041120000	A	2016.01
A01D  41/14	A01D0041120000	A	2016.01
A01D  41/16	A01D0041140000	A	2016.01
A01D  42/00		A	2016.01
A01D  42/02	A01D0042000000	A	2016.01
A01D  42/04	A01D0042000000	A	2016.01
A01D  42/06	A01D0042000000	A	2016.01
A01D  42/08	A01D0042060000	A	2016.01
A01D  43/00		A	2016.01
A01D  43/02	A01D0043000000	A	2016.01
A01D  43/04	A01D0043000000	A	2016.01
A01D  43/06	A01D0043000000	A	2016.01
A01D  43/063	A01D0043060000	A	2016.01
A01D  43/07	A01D0043060000	A	2016.01
A01D  43/073	A01D0043070000	A	2016.01
A01D  43/077	A01D0043060000	A	2016.01
A01D  43/08	A01D0043000000	A	2016.01
A01D  43/10	A01D0043000000	A	2016.01
A01D  43/12	A01D0043000000	A	2016.01
A01D  43/14	A01D0043000000	A	2016.01
A01D  43/16	A01D0043000000	A	2016.01
A01D  44/00		A	2016.01
A01D  44/02	A01D0044000000	A	2016.01
A01D  45/00		A	2016.01
A01D  45/02	A01D0045000000	A	2016.01
A01D  45/04	A01D0045000000	A	2016.01
A01D  45/06	A01D0045000000	A	2016.01
A01D  45/10	A01D0045000000	A	2016.01
A01D  45/16	A01D0045000000	A	2016.01
A01D  45/22	A01D0045000000	A	2016.01
A01D  45/24	A01D0045000000	A	2016.01
A01D  45/26	A01D0045000000	A	2016.01
A01D  45/28	A01D0045000000	A	2016.01
A01D  45/30	A01D0045000000	A	2016.01
A01D  46/00		A	2016.01
A01D  46/02	A01D0046000000	A	2016.01
A01D  46/04	A01D0046000000	A	2016.01
A01D  46/06	A01D0046000000	A	2016.01
A01D  46/08	A01D0046000000	A	2016.01
A01D  46/10	A01D0046080000	A	2016.01
A01D  46/12	A01D0046080000	A	2016.01
A01D  46/14	A01D0046080000	A	2016.01
A01D  46/16	A01D0046140000	A	2016.01
A01D  46/18	A01D0046160000	A	2016.01
A01D  46/20	A01D0046000000	A	2016.01
A01D  46/22	A01D0046000000	A	2016.01
A01D  46/24	A01D0046000000	A	2016.01
A01D  46/247	A01D0046240000	A	2016.01
A01D  46/253	A01D0046240000	A	2016.01
A01D  46/26	A01D0046000000	A	2016.01
A01D  46/28	A01D0046000000	A	2016.01
A01D  46/30	A01D0046000000	A	2016.01
A01D  47/00		A	2016.01
A01D  51/00		A	2016.01
A01D  57/00		A	2016.01
A01D  57/01	A01D0057000000	A	2016.01
A01D  57/02	A01D0057010000	A	2016.01
A01D  57/03	A01D0057020000	A	2016.01
A01D  57/04	A01D0057020000	A	2016.01
A01D  57/05	A01D0057020000	A	2016.01
A01D  57/06	A01D0057010000	A	2016.01
A01D  57/08	A01D0057010000	A	2016.01
A01D  57/10	A01D0057010000	A	2016.01
A01D  57/12	A01D0057000000	A	2016.01
A01D  57/14	A01D0057000000	A	2016.01
A01D  57/16	A01D0057000000	A	2016.01
A01D  57/18	A01D0057000000	A	2016.01
A01D  57/20	A01D0057000000	A	2016.01
A01D  57/22	A01D0057000000	A	2016.01
A01D  57/24	A01D0057000000	A	2016.01
A01D  57/26	A01D0057000000	A	2016.01
A01D  57/28	A01D0057000000	A	2016.01
A01D  57/30	A01D0057000000	A	2016.01
A01D  59/00		A	2016.01
A01D  59/02	A01D0059000000	A	2016.01
A01D  59/04	A01D0059000000	A	2016.01
A01D  59/06	A01D0059000000	A	2016.01
A01D  59/08	A01D0059000000	A	2016.01
